Code,Parents,Synonyms,Definition,Display Name,Semantic Type,Concept in Subset
C116890,C1904,Nanoparticle Albumin-bound Thiocolchicine Dimer nab-5404|ABI-011|IDN 5404|IDN-5404|NTB-011|nab-5404|nab-Thiocolchicine Dimer,"A nanoparticle albumin-bound formulation of a thiocolchicine dimer, an inhibitor of both microtubule and topoisomerase I (TOP1), with antineoplastic and vascular disrupting activities. Upon administration of nanoparticle albumin-bound thiocolchicine dimer nab-5404, this agent binds to tubulin and inhibits its polymerization, which blocks mitotic spindle formation and leads to cell cycle arrest and tumor endothelial cell apoptosis. This disrupts the tumor vasculature and leads to tumor necrosis. In addition, nab-5404 binds to topoisomerase I (TOPI) and inhibits its activity. This results in the inhibition of the repair of single-strand DNA breaks, DNA replication, and tumor cell growth in susceptible tumor cell populations. The nanoparticle albumin-based formulation permits the albumin-mediated endocytosis of the thiocolchicine dimer by tumor cells and endothelial cells.",Nanoparticle Albumin-bound Thiocolchicine Dimer nab-5404,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|FDA Established Names and Unique Ingredient Identifier Codes Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C117733,C26170,Electrokinetically Modified Water|EMW|Electro-kinetically Altered Beverage,"Orally available, nanobubble-based, electrokinetically modified water (EMW) composed of reverse osmosis water where the minerals calcium chloride, magnesium chloride, and potassium bicarbonate have been added and with an increased oxygen concentration compared to normal water. Upon consumption, the EMW may have a beneficial effect on fatigue. This water may protect muscle cells against damage and may improve skeletal muscle function. The water is pretreated with strong, controlled turbulence to create charge-stabilized nanostructures.",,Pharmacologic Substance,NCI Drug Dictionary Terminology
C118648,C61078,Nanoparticle-based Paclitaxel Suspension|Nanotax,"A nanoparticle-based suspension containing the water-insoluble taxane paclitaxel, with potential antineoplastic activity. Upon intraperitoneal administration, paclitaxel binds to tubulin and inhibits the disassembly of microtubules, which leads to the inhibition of cell division. The nanoparticle-based formulation is devoid of toxic solvents, such as cremophor; therefore, this agent has fewer side effects than the standard, solvent-based paclitaxel formulation.",Nanoparticle-based Paclitaxel Suspension,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCIt Antineoplastic Agent Terminology
C121214,C2189|C163952,Nanocell-encapsulated miR-16-based microRNA Mimic|TargomiRs,"A nanoparticle-based formulation composed of a microRNA 16 (miR-16) mimic, a double-stranded, 23 base pair, synthetic RNA molecule, encapsulated in nonliving bacterial minicells and coated with anti-epidermal growth factor receptor (EGFR) antibodies, with potential antineoplastic activity. Upon intravenous administration and subsequent transfection, nanocell-encapsulated miR-16-based microRNA mimic targets EGFR-expressing tumor cells and facilitates the restoration of expression of the miR-16 family. This leads to the downregulation of the expression of tumor promoting genes and the inhibition of tumor cell growth. In addition, restoration of miR-16 expression sensitizes the tumor cell to certain chemotherapeutic agents. miR-16, a family of microRNAs, is critical to the regulation of gene expression and appears to have a tumor suppressor function; its expression is downregulated in various cancer cell types.",,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C121539,C67437,Docetaxel-loaded Nanopharmaceutical CRLX301|CRLX301,"A nanoparticle-based formulation containing the poorly water-soluble, second-generation taxane analog docetaxel, with antineoplastic activity. Upon intravenous administration of the docetaxel-loaded nanopharmaceutical CRLX301, the nanoparticles are able to accumulate at the tumor site due to the unique characteristics of the tumor's vasculature, while avoiding normal, healthy tissue. In turn, CRLX301 is taken up by the tumor cell via macropinocytosis. Subsequently, docetaxel is slowly released into the cytoplasm where it binds to and stabilizes the beta-subunit of tubulin, thereby stabilizing microtubules and inhibiting microtubule disassembly. This prevents mitosis and results in cell death. Compared to the administration of docetaxel alone, this formulation is able to increase docetaxel's efficacy while avoiding systemic exposure, which minimizes its toxicity.",Docetaxel-loaded Nanopharmaceutical CRLX301,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C121961,C67437,Docetaxel Nanoparticle CPC634|CPC 634|CPC-634|CPC634|CriPec (R) Docetaxel|Docetaxel containing CriPec (R) Nanoparticles|Docetaxel-containing CriPec (R) Nanoparticles CPC634|Nanoparticle-encapsulated Docetaxel CPC634,"A polymeric nanoparticle (PNP) formulation containing the poorly water-soluble taxane docetaxel, a semi-synthetic analogue of paclitaxel, with antineoplastic activity. Upon intravenous administration of the docetaxel nanoparticle CPC634, the nanoparticles are able to accumulate at the tumor site due to the unique characteristics of the tumor's vasculature, while avoiding normal, healthy tissue. In turn, docetaxel is released locally at the target tumor site, binds specifically to the beta-tubulin subunit of the microtubule, stabilizing tubulin and inhibiting microtubule disassembly, which results in cell-cycle arrest at the G2/M phase, thereby preventing cell proliferation. This agent also inhibits pro-angiogenic factors such as vascular endothelial growth factor (VEGF) and induces various mediators of the inflammatory response. Compared to docetaxel alone, this formulation may enhance stability and improve delivery, thereby increasing docetaxel's efficacy while avoiding systemic exposure, which minimizes its toxicity.",,Organic Chemical|Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C12218,,Chemotherapy Regimen or Agent Combination|Combination Chemotherapy Regimen,"A combination of multiple drugs used in standard or clinical trial treatments. The order, dosage or dosing interval of the individual ingredients may not be specified.",,Therapeutic or Preventive Procedure,
C124053,C697,Bendamustine-containing Nanoparticle-based Formulation RXDX-107|BENDAMUSTINE DODECYL ESTER|CEP-40125|RXDX 107|RXDX-107,"A nanoparticle-based formulation containing the alkyl ester of bendamustine, a bifunctional mechlorethamine derivative, encapsulated in human serum albumin (HSA), with potential alkylating and antineoplastic activities. Upon administration of the alkyl ester bendamustine-containing nanoparticle formulation RXDX-107, the nanoparticle formulation permits high concentrations of the alkyl ester of bendamustine be localized at the tumor site. The modified bendamustine alkylates and crosslinks macromolecules, resulting in DNA, RNA and protein synthesis inhibition, and, subsequently, apoptosis.",Bendamustine-containing Nanoparticle-based Formulation RXDX-107,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|FDA Established Names and Unique Ingredient Identifier Codes Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C126800,C129821,CEBPA-targeting saRNA MTL-CEBPA Liposome|MTL-501|MTL-CEBPA,"A lipid-based nanoparticle formulation composed of liposomes encapsulating a small oligonucleotide encoding a small activating RNA (saRNA) targeting the CCAAT enhancer binding protein alpha (CEBPA; C/EBP-a) gene, with potential antineoplastic activity. Although the exact mechanism of action through which saRNAs exert their effect(s) is still largely being investigated, it appears that, upon administration, the CEBPA-targeting saRNA MTL-CEBPA liposome targets and binds to a specific DNA regulatory target region, most likely the promoter region, for the CEBPA gene. This restores CEBPA gene transcription, and increases both CEBPA mRNA levels and protein expression. This in turn activates the expression of tumor suppressor genes and may halt proliferation of susceptible tumor cells. Specifically, upregulation of CEBPA in liver cells abrogates liver cancer cell proliferation, thereby prevents liver failure and normalizes liver function. CEBPA, a transcription factor that plays a key role in the regulation of the expression of genes with many functions, including those involved in cellular proliferation, metastasis and normal hepatocyte function, is found in many tissues, including liver cells, adipose tissue and myeloid cells. CEBPA is downregulated in certain types of cancer cells, such as liver cancer cells. saRNA is a short, double-stranded RNA that is structurally related to siRNAs; saRNA is most likely to bind to a target site on the promoter of the CEBPA gene and upregulates its gene expression.",CEBPA-targeting saRNA MTL-CEBPA Liposome,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C128132,C2124,Iodine I 124-cRGDY-PEG-C Dots|124I-cRGDY-PEG-C Dots|124I-cRGDY-PEG-dots|124I-cRGDY-PEG-ylated Dots|124I-cRGDY-PEG-ylated-C Dots|I-124 cRGDY-PEG-C Dots|I-124 cRGDY-PEG-dots|Iodine I 124-cRGDY-PEG-dots,"An imaging agent composed of silica-based nanoparticles labeled with a near-infrared (NIR) fluorophore, Cyanine 5.5 (Cy5.5) and surrounded by polyethylene glycol (PEG) chains attached to cyclo-[Arg-Gly-Asp-Tyr] (cRGDY) peptides labeled with the positron-emitting radioisotope iodine I 124 via a tyrosine linker, with potential use in positron emission tomography (PET)/spiral computed tomography (CT) imaging. Upon intravenous administration of the radiolabeled iodine I 124-cRGDY-PEG-C dots, the cRGD moiety selectively binds to alphaVbeta3 integrin expressed on tumor cells. Upon PET/CT imaging, alphaVbeta3 integrin-expressing tumor cells can be visualized and the degree of both tumor metastasis and sentinel lymph node (SLN) trafficking can be assessed. Integrins are transmembrane glycoproteins upregulated on proliferating tumor vessel endothelial cells and various cancer cells; their overexpression has been associated with neovascularization, differentiation, proliferation of tumor cells, metastasis and an overall poor prognosis.",Iodine I 124-cRGDY-PEG-C Dots,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology
C1283,C308|C307,Recombinant Cytokine|Cytokines,,,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",
C1291,C1962,Antisense Oligonucleotides|AS ODNs|Antisense Agents|Gene Expression Inhibitor|antisense agent|antisense oligonucleotide,"Antisense Oligonucleotides, short synthetic segments of DNA or RNA, designed with a sequence complimentary to a specific mRNA that target and bind with mRNA, causing inhibition of translation or overexpression of the protein encoded by the mRNA.",,"Chemical Viewed Functionally|Nucleic Acid, Nucleoside, or Nucleotide",NCI Drug Dictionary Terminology
C129651,C62358,Polysiloxane/Gadolinium Chelates-based Nanoparticles|AGuIX|AGuIX-NP|Gadolinium-Based Nanoparticle|Polysiloxane Matrix-gadolinium Chelates-based Nanoparticles|Polysiloxane/Gadolinium-DOTA Chelates-based Nanoparticles,"A nanoparticle formulation composed of a polysiloxane-based inorganic matrix bound to cyclic chelates composed of the chelating agent DOTA (1,4,7,10-tetra-azacyclododecane-1-glutaric anhydride-4,7,10-triacetic acid) covalently bound to the paramagnetic contrast enhancer gadolinium (Gd), a high-Z material, with potential use in enhancing diagnostic images upon magnetic resonance imaging (MRI) and potential radiosensitizing activity. Upon intravenous administration of polysiloxane matrix-gadolinium chelates-based nanoparticles, the nanoparticles extravasate to tumor sites due to the unique, hyperpermeable environment of the tumor vasculature. In addition, the small nanoparticles allow for deep penetration into the tumor, where they subsequently accumulate. Upon placement in a magnetic field, this agent produces a large magnetic moment and creates a large local magnetic field, which can enhance the relaxation rate of nearby protons. This change in proton relaxation dynamics increases the MRI signal intensity of tissues in which this agent has accumulated; therefore, contrast and visualization of those tissues are enhanced compared to unenhanced MRI. The ultra-small nanoparticles, less than 5 nm in diameter, allow for rapid renal clearance and reduced toxicity. Due to their magnetic properties, these nanoparticles make tumor cells more sensitive to radiation therapy.",Polysiloxane/Gadolinium Chelates-based Nanoparticles,"Indicator, Reagent, or Diagnostic Aid|Organic Chemical",CTRP Agent Terminology|CTRP Terminology|NCI Drug Dictionary Terminology
C129819,C274|C1446,Antineoplastic Radiopharmaceutical Agent|Anti-cancer Radiopharmaceutical|Antineoplastic Radiopharmaceutical,Any radiopharmaceutical agent that targets cancer cells and exerts an antineoplastic effect through radiotoxicity.,Antineoplastic Radiopharmaceutical Agent,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|NCIt Antineoplastic Agent Terminology
C129820,C308|C274,Antineoplastic Immunomodulating Agent|Anti-cancer Immunotherapeutic|Antineoplastic BRM|Antineoplastic Biological Response Modifier|Antineoplastic Immunotherapeutic,"Any agent that is capable of modulating the immune system in order to exert antineoplastic effects. Antineoplastic immunomodulating agents either activate the immune system, restore certain immune system activators or abrogate immunosuppression.",Antineoplastic Immunomodulating Agent,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|NCIt Antineoplastic Agent Terminology
C129821,C307|C274,Antineoplastic Biological Agent|Anti-cancer Biological Agent|Anticancer Biological|Antineoplastic Biological|Antineoplastic Biotherapeutic,"Any agent that has a biological nature, such as agents containing living organisms, derived from living organisms, or comprised of ex vivo synthesized analogs of substances derived from living organisms, and that exerts antineoplastic activity.",Antineoplastic Biological Agent,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|NCIt Antineoplastic Agent Terminology
C129822,C129821,Antineoplastic Antibody|Anti-cancer Antibody|Anticancer Antibody|Antineoplastic Ab,Any type of antibody that exerts antineoplastic activity.,,Pharmacologic Substance,
C129824,C2189,Antineoplastic Protein Inhibitor|Anti-cancer Protein Inhibitor|Antineoplastic Protein Antagonist,Any agent that inhibits the activity of any protein that is involved in cancer-specific pathways. An antineoplastic protein inhibitor is a specific cancer cell-targeting agent.,,Pharmacologic Substance,
C129825,C471|C129824,Antineoplastic Enzyme Inhibitor|Anti-cancer Enzyme Inhibitor,"Any agent that specifically inhibits a particular enzyme that is overexpressed and/or mutated in cancer cell pathways. Antineoplastic enzyme inhibitors specifically target tumor cells by targeting enzymes that are not normally expressed or are minimally expressed in normal, healthy tissues.",,Pharmacologic Substance,
C129839,C274,Apoptotic Pathway-targeting Antineoplastic Agent|Apoptotic Pathway-targeting Cancer Therapeutic,Any agent that directly targets the apoptotic pathway and has an antineoplastic effect.,,Pharmacologic Substance,
C131213,C61078,Nab-paclitaxel/Rituximab-coated Nanoparticle AR160|AR160|Abraxane Coated with Rituximab 160nm Nanoparticle|Abraxane coated with Rituximab|Abraxane/Rituxan 160 Complex,"A formulation composed of nanoparticle albumin-bound (nab) paclitaxel, which is an albumin-stabilized nanoparticle containing the natural taxane paclitaxel, non-covalently coated with rituximab, a recombinant chimeric murine/human antibody directed against the CD20 antigen found on B-lymphocytes, with potential antineoplastic activity. Upon administration of nab-paclitaxel/rituximab nanoparticle AR160, the rituximab moiety specifically binds to CD20 and targets this formulation to CD20-positive tumor cells. Paclitaxel binds to and stabilizes microtubules, which prevents depolymerization and inhibits cellular motility, mitosis, and replication. This leads to cell death of the CD20-expressing tumor cells that were targeted by this agent. The combination of albumin-stabilization and rituximab-targeting allows for higher efficacy and decreased paclitaxel-induced toxicity as it specifically targets CD20-expressing tumor cells. Rituximab may also induce complement-dependent cytotoxicity and antibody-dependent cellular toxicity.",Nab-paclitaxel/Rituximab-coated Nanoparticle AR160,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C131368,C129821,Spherical Nucleic Acid Nanoparticle NU-0129|NU-0129|SNA Gold Nanoparticle NU-0129|SNA NU-0129,"A spherical nucleic acid (SNA) gold nanoparticle formulation composed of small interfering RNAs (siRNAs) targeting the Bcl-2-like protein 12 (BCL2L12) sequence and conjugated to gold nanoparticles, with potential antineoplastic activity. Upon administration of SNA NU-0129, the siRNA prevents the translation of the BCL2L12 gene. Inhibiting the expression of BCL2L12 by NU-0129 induces tumor cell apoptosis. Bcl2L12, a protein belonging to the Bcl-2 protein family, is overexpressed in glioblastoma multiforme (GBM) and plays a role in tumor cell progression and tumor cell resistance to apoptosis. NU-0129 is able to cross the blood brain barrier (BBB).",Spherical Nucleic Acid Nanoparticle NU-0129,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C131434,C129839,Ceramide Nanoliposome|CNL|KN 001|KN-001|KN-01|Nanoliposomal Ceramide,"A lipid-based nanoparticle formulation composed of the apoptosis-inducing sphingolipid ceramide encapsulated within nanoliposomes, with potential apoptotic and antineoplastic activities. Upon administration, ceramide nanoliposomes accumulate in the tumor environment, due to the unique properties of the tumor vasculature, and easily enter tumor cells. This delivers ceramide inside the tumor cells, where ceramide induces apoptosis. Although the process is not completely understood, ceramide-dependent apoptosis most likely results from the downregulation of nutrient transporter proteins, which prevents cellular access to extracellular nutrients and causes tumor cell starvation. This selectively destroys tumor cells. Ceramide alone is insoluble and has a very short half-life; therefore, the nanoliposome formulation increases its solubility and half-life. Ceramide plays a key role in the regulation of autophagy, apoptosis, survival and proliferation. Serving as a tumor suppressor lipid, the expression of ceramide is inversely correlated with tumor cell growth, survival and metastasis.",Ceramide Nanoliposome,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C131825,C177174,Adenovirus-expressing TLR5/TLR5 Agonist Nanoformulation M-VM3|M-VM3|Mobilan,"A nanoparticle-based formulation containing a recombinant non-replicating adenovirus (Ad) encoding toll-like receptor 5 (TLR5) and its specific ligand protein 502S, with potential antineoplastic and immunomodulating activities. Upon administration, the Ad preferentially and specifically infects cells expressing the Coxsackievirus and adenovirus receptor (CAR), which is highly expressed in certain human tumors, and expresses both TLR5 and a specific agonistic ligand in the same cell. 502S binds to and activates TLR5, thereby allowing for continuous TLR5 signaling. This stimulates dendritic cells (DCs), monocytes, macrophages and the nuclear factor-kappa B (NF-kappaB) signaling cascade. This activation results in the production of pro-inflammatory cytokines, including interferon alpha, tumor necrosis factor-alpha and the interleukins (IL), IL-1 beta, -6 and -12. This may induce a T helper cell-1 (Th1) immune response and activate a cytotoxic T-lymphocyte (CTL) response against tumor associated antigens (TAAs). TLR5, a member of the TLR family, plays a key role in the activation of innate immunity.",,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C133878,C20401|C163952,Anti-EGFR Monoclonal Antibody|Anti-EGFR MoAb,Any monoclonal antibody directed against epidermal growth factor receptor (EGFR).,,"Amino Acid, Peptide, or Protein",
